season_year,pts_bin,PTS,G,FG,FGA,3P,3PA,FT,FTA,TOV,MP,AST,ppg,fga_game,fg_game,3pa_game,3p_game,fta_game,ft_game,ft_pct,min_game,ast_game
1977,5,12179,2813,5017,11283,0.0,0.0,2145,3144,0.0,37226,3413,4.32954141485958,4.011020263064344,1.7835051546391754,0.0,0.0,1.117667970138642,0.76253110558123,0.6822519083969466,13.233558478492712,1.2132954141485959
1977,4,22221,3297,8890,20012,0.0,0.0,4441,6035,0.0,62969,5461,6.739763421292084,6.0697603882317255,2.6963906581740975,0.0,0.0,1.8304519259933272,1.3469821049438884,0.7358740679370339,19.098877767667577,1.6563542614498028
1977,3,31962,3644,13042,28372,0.0,0.0,5878,8229,0.0,86547,9052,8.771130625686059,7.785949506037322,3.579034028540066,0.0,0.0,2.258232711306257,1.6130625686059274,0.714303074492648,23.75054884742042,2.4840834248079036
1977,2,45463,3669,18161,39343,0.0,0.0,9141,12074,0.0,104264,10923,12.39111474516217,10.723085309348596,4.94985009539384,0.0,0.0,3.29081493594985,2.4914145543744888,0.7570813317873116,28.417552466612158,2.9771054783319704
1977,1,74631,3752,29954,61846,0.0,0.0,14723,18840,0.0,130479,13002,19.89099147121535,16.483475479744136,7.983475479744136,0.0,0.0,5.021321961620469,3.9240405117270787,0.7814755838641189,34.77585287846482,3.465351812366738
1978,5,12313,2834,5048,11828,0.0,0.0,2217,3250,2854.0,38989,3339,4.344742413549753,4.173606210303458,1.7812279463655611,0.0,0.0,1.146788990825688,0.7822865208186309,0.6821538461538461,13.757586450247,1.1781933662667607
1978,4,23106,3282,9257,20493,0.0,0.0,4592,6268,4963.0,67032,6650,7.040219378427788,6.244058500914077,2.820536258379037,0.0,0.0,1.9098110907982937,1.3991468616697136,0.7326100829610721,20.424131627056674,2.0262035344302256
1978,3,33534,3440,13567,29107,0.0,0.0,6400,8459,6530.0,84903,9417,9.748255813953488,8.461337209302325,3.9438953488372093,0.0,0.0,2.459011627906977,1.8604651162790697,0.7565906135477006,24.68110465116279,2.7375
1978,2,47278,3535,18951,40026,0.0,0.0,9376,12697,8816.0,103008,10501,13.374257425742574,11.322772277227722,5.360961810466761,0.0,0.0,3.5917963224893916,2.6523338048090523,0.7384421516893754,29.13946251768034,2.9705799151343704
1978,1,74309,3677,29707,61337,0.0,0.0,14895,19123,11507.0,129114,14033,20.209137884144685,16.681261898286646,8.079140603753059,0.0,0.0,5.200707098177863,4.050856676638564,0.7789049835276892,35.1139515909709,3.8164264345934185
1979,5,12467,2922,5067,11488,0.0,0.0,2333,3360,3042.0,41339,4082,4.266598220396989,3.9315537303216974,1.7340862422997947,0.0,0.0,1.1498973305954825,0.7984257357973991,0.6943452380952381,14.147501711156742,1.3969883641341547
1979,4,23913,3362,9711,20834,0.0,0.0,4491,6157,4893.0,65772,6186,7.112730517549078,6.196906603212374,2.888459250446163,0.0,0.0,1.8313503866745984,1.335812016656752,0.7294136754913108,19.56335514574658,1.8399762046400951
1979,3,34914,3435,14226,29106,0.0,0.0,6462,8629,6498.0,86428,9394,10.164192139737992,8.473362445414848,4.141484716157205,0.0,0.0,2.512081513828239,1.8812227074235808,0.7488700892339785,25.16098981077147,2.7347889374090246
