season_year,pts_bin,PTS,G,FG,FGA,3P,3PA,FT,FTA,TOV,MP,AST,ppg,fga_game,fg_game,3pa_game,3p_game,fta_game,ft_game,ft_pct,min_game,ast_game
1977,5,12179,2813,5017,11283,0,0,2145,3144,0,37226,3413,4.329541415,4.011020263,1.783505155,0,0,1.11766797,0.7625311056,0.6822519084,13.23355848,1.213295414
1977,4,22221,3297,8890,20012,0,0,4441,6035,0,62969,5461,6.739763421,6.069760388,2.696390658,0,0,1.830451926,1.346982105,0.7358740679,19.09887777,1.656354261
1977,3,31962,3644,13042,28372,0,0,5878,8229,0,86547,9052,8.771130626,7.785949506,3.579034029,0,0,2.258232711,1.613062569,0.7143030745,23.75054885,2.484083425
1977,2,45463,3669,18161,39343,0,0,9141,12074,0,104264,10923,12.39111475,10.72308531,4.949850095,0,0,3.290814936,2.491414554,0.7570813318,28.41755247,2.977105478
1977,1,74631,3752,29954,61846,0,0,14723,18840,0,130479,13002,19.89099147,16.48347548,7.98347548,0,0,5.021321962,3.924040512,0.7814755839,34.77585288,3.465351812
1978,5,12313,2834,5048,11828,0,0,2217,3250,2854,38989,3339,4.344742414,4.17360621,1.781227946,0,0,1.146788991,0.7822865208,0.6821538462,13.75758645,1.178193366
1978,4,23106,3282,9257,20493,0,0,4592,6268,4963,67032,6650,7.040219378,6.244058501,2.820536258,0,0,1.909811091,1.399146862,0.732610083,20.42413163,2.026203534
1978,3,33534,3440,13567,29107,0,0,6400,8459,6530,84903,9417,9.748255814,8.461337209,3.943895349,0,0,2.459011628,1.860465116,0.7565906135,24.68110465,2.7375
1978,2,47278,3535,18951,40026,0,0,9376,12697,8816,103008,10501,13.37425743,11.32277228,5.36096181,0,0,3.591796322,2.652333805,0.7384421517,29.13946252,2.970579915
1978,1,74309,3677,29707,61337,0,0,14895,19123,11507,129114,14033,20.20913788,16.6812619,8.079140604,0,0,5.200707098,4.050856677,0.7789049835,35.11395159,3.816426435
1979,5,12467,2922,5067,11488,0,0,2333,3360,3042,41339,4082,4.26659822,3.93155373,1.734086242,0,0,1.149897331,0.7984257358,0.6943452381,14.14750171,1.396988364
1979,4,23913,3362,9711,20834,0,0,4491,6157,4893,65772,6186,7.112730518,6.196906603,2.88845925,0,0,1.831350387,1.335812017,0.7294136755,19.56335515,1.839976205
1979,3,34914,3435,14226,29106,0,0,6462,8629,6498,86428,9394,10.16419214,8.473362445,4.141484716,0,0,2.512081514,1.881222707,0.7488700892,25.16098981,2.734788937
1979,2,50515,3425,20559,42695,0,0,9397,12107,8951,105387,12018,14.74890511,12.46569343,6.002627737,0,0,3.534890511,2.743649635,0.7761625506,30.76992701,3.508905109
1979,1,72839,3527,28996,57309,0,0,14847,19501,10820,124029,13713,20.65182875,16.24865325,8.22115112,0,0,5.529061525,4.20952651,0.761345572,35.16557981,3.888006805
1980,5,13273,2910,5342,12153,106,400,2483,3505,2936,42480,4213,4.561168385,4.17628866,1.835738832,0.1374570447,0.03642611684,1.204467354,0.8532646048,0.7084165478,14.59793814,1.447766323
1980,4,23148,3274,9313,20055,141,547,4381,5992,5076,67289,7222,7.070250458,6.125534514,2.844532682,0.1670739157,0.04306658522,1.830177153,1.338118509,0.731141522,20.55253513,2.205864386
1980,3,34186,3318,13669,28727,326,1137,6522,8431,6203,85564,9442,10.3031947,8.657926462,4.119650392,0.342676311,0.09825195901,2.540988547,1.965641953,0.773573716,25.78782399,2.845690175
1980,2,47446,3463,19169,39455,401,1294,8707,11543,8147,102922,11437,13.70083742,11.39330061,5.535373953,0.3736644528,0.115795553,3.333237078,2.514293965,0.7543099714,29.72047358,3.302627779
1980,1,72844,3569,28786,57518,387,1444,14885,18818,9899,122690,12855,20.41019894,16.11599888,8.065564584,0.4045951247,0.1084337349,5.272625385,4.170636033,0.7909979807,34.37657607,3.601849257
1981,5,11273,2760,4566,10403,108,382,2033,2987,2698,38724,3840,4.08442029,3.769202899,1.654347826,0.1384057971,0.03913043478,1.082246377,0.7365942029,0.6806160027,14.03043478,1.391304348
1981,4,23221,3470,9185,19481,62,313,4789,6758,5044,69139,6897,6.691930836,5.614121037,2.646974063,0.09020172911,0.01786743516,1.947550432,1.380115274,0.7086416099,19.92478386,1.987608069
1981,3,34935,3634,14119,29177,226,890,6471,8684,6345,91779,10083,9.613373693,8.028893781,3.885250413,0.244909191,0.06219042378,2.389653275,1.780682444,0.7451635191,25.25564117,2.774628509
1981,2,51756,3701,20412,41485,129,606,10803,14236,9219,107194,12283,13.98432856,11.20913267,5.515266144,0.1637395299,0.03485544447,3.846527965,2.918940827,0.7588508008,28.96352337,3.318832748
1981,1,75845,3798,30066,60034,328,1309,15385,19833,10041,130429,12938,19.96972091,15.80674039,7.916271722,0.3446550816,0.08636124276,5.221958926,4.050816219,0.7757273231,34.34149552,3.406529753
1982,5,11338,2977,4551,10174,46,211,2190,3278,2619,38891,3086,3.808532079,3.417534431,1.528720188,0.07087672153,0.01545179711,1.101108498,0.7356399059,0.668090299,13.06382264,1.036614041
1982,4,22623,3490,9079,18839,206,726,4259,6138,4218,65347,5951,6.482234957,5.397994269,2.601432665,0.2080229226,0.05902578797,1.758739255,1.22034384,0.6938742261,18.72406877,1.705157593
1982,3,36560,3785,14616,30820,256,976,7072,9363,6440,91029,10548,9.659180978,8.142668428,3.861558785,0.2578599736,0.06763540291,2.473712021,1.868428005,0.7553134679,24.04993395,2.78678996
1982,2,48517,3715,19425,38917,313,1066,9354,12212,7784,105595,11962,13.05975774,10.4756393,5.228802153,0.2869448183,0.08425302826,3.287213997,2.517900404,0.7659679004,28.42395693,3.219919246
1982,1,79024,3945,31370,61847,243,1091,16041,21066,10596,136597,14152,20.03143219,15.67731305,7.951837769,0.2765525982,0.06159695817,5.339923954,4.066159696,0.7614639704,34.62534854,3.587325729
1983,5,11201,2871,4506,10204,51,267,2138,3151,2693,36098,3119,3.901428074,3.554162313,1.569487983,0.09299895507,0.01776384535,1.097526994,0.7446882619,0.6785147572,12.5733194,1.086381052
1983,4,21535,3544,8640,18523,62,358,4193,5979,4885,64900,6886,6.076467269,5.226580135,2.437923251,0.1010158014,0.01749435666,1.687076749,1.183126411,0.7012878408,18.31264108,1.943002257
1983,3,35324,3778,14380,30171,273,1017,6291,8581,6652,89818,9912,9.349920593,7.985971413,3.806246691,0.2691900476,0.07226045527,2.27130757,1.665166755,0.7331313367,23.77395447,2.623610376
1983,2,49364,3765,19876,41000,228,988,9384,12685,9055,110895,13486,13.11128818,10.88977424,5.279150066,0.2624169987,0.06055776892,3.369189907,2.492430279,0.7397713835,29.45418327,3.581938911
1983,1,80023,3910,31859,62786,322,1338,15983,20831,10790,133997,13595,20.46624041,16.05780051,8.148081841,0.3421994885,0.08235294118,5.327621483,4.087723785,0.7672699342,34.27033248,3.476982097
1984,5,11066,3065,4464,9742,46,268,2092,3011,2457,36672,3147,3.610440457,3.178466558,1.456443719,0.08743882545,0.01500815661,0.9823817292,0.6825448613,0.6947857855,11.96476346,1.02675367
1984,4,22710,3587,9039,18980,141,620,4491,6126,4256,66818,6191,6.331195986,5.291329802,2.519933092,0.1728463897,0.03930861444,1.707833844,1.252021188,0.7331047992,18.62782269,1.725954837
1984,3,35665,3888,14195,29487,258,1010,7017,9427,6681,90898,11522,9.173096708,7.584104938,3.650977366,0.2597736626,0.06635802469,2.424639918,1.804783951,0.7443513313,23.37911523,2.963477366
1984,2,51335,3876,20264,40939,274,1125,10533,13740,8340,114368,13832,13.24432405,10.5621775,5.228070175,0.290247678,0.07069143447,3.544891641,2.71749226,0.7665938865,29.50670795,3.568627451
1984,1,83359,4019,32666,64322,367,1346,17660,22619,10751,137012,13672,20.74122916,16.00447873,8.127892511,0.3349091814,0.09131624782,5.62801692,4.394127893,0.7807595384,34.09106743,3.401841254
1985,5,10322,2955,4028,9037,74,308,2192,3183,2454,34423,2501,3.493062606,3.05820643,1.363113367,0.1042301184,0.02504230118,1.07715736,0.7417935702,0.6886584983,11.64906937,0.8463620981
1985,4,21509,3540,8708,18156,122,494,3971,5515,4304,64990,5843,6.075988701,5.128813559,2.459887006,0.1395480226,0.03446327684,1.557909605,1.121751412,0.7200362647,18.35875706,1.650564972
1985,3,34607,3818,13743,28020,453,1498,6668,8767,6175,87928,10586,9.064169722,7.338920901,3.599528549,0.3923520168,0.1186485071,2.296228392,1.746464117,0.7605794456,23.02985856,2.772655841
1985,2,53322,3863,21193,43032,302,1129,10634,13755,8153,114540,13107,13.80326171,11.13952886,5.48615066,0.2922599016,0.07817758219,3.560704116,2.752782811,0.7731006907,29.65053068,3.39295884
1985,1,83400,3977,32564,64822,671,2271,17601,22413,10924,138423,15848,20.97058084,16.29922052,8.188081468,0.5710334423,0.1687201408,5.635655016,4.425697762,0.7853031723,34.80588383,3.984913251
1986,5,11434,2969,4560,10173,84,388,2230,3431,2458,37557,2707,3.851128326,3.426406197,1.535870664,0.1306837319,0.02829235433,1.155607949,0.7510946447,0.649956281,12.64971371,0.9117547996
1986,4,23804,3556,9329,19772,360,1189,4786,6425,4325,66064,6126,6.694038245,5.560179978,2.623453318,0.3343644544,0.1012373453,1.806805399,1.345894263,0.7449027237,18.57817773,1.72272216
1986,3,34754,3684,13709,28027,471,1491,6865,9329,6237,87808,10526,9.433767644,7.607763301,3.721226927,0.404723127,0.1278501629,2.532301846,1.863463626,0.7358773716,23.834962,2.857220413
1986,2,51244,3863,20359,41733,332,1317,10194,13520,7923,111497,13010,13.26533782,10.80326171,5.270256278,0.3409267409,0.08594356718,3.499870567,2.638881698,0.7539940828,28.86280093,3.367848822
1986,1,78401,3873,30333,60427,455,1613,17280,21853,10623,132698,14781,20.24296411,15.60211722,7.831913246,0.4164730183,0.1174799897,5.642396075,4.46165763,0.7907381138,34.26232894,3.816421379
1987,5,10859,2987,4285,9787,114,530,2175,3090,2225,37324,2832,3.635420154,3.276531637,1.434549715,0.1774355541,0.03816538333,1.034482759,0.7281553398,0.7038834951,12.49548042,0.94810847
1987,4,21362,3329,8374,18121,310,1052,4304,5921,3941,58320,5879,6.416942025,5.443376389,2.515470111,0.3160108141,0.09312105737,1.778612196,1.292880745,0.7269042391,17.51877441,1.765995795
1987,3,34417,3655,13565,29241,596,1938,6691,8983,5734,86043,9883,9.416415869,8.000273598,3.711354309,0.5302325581,0.1630642955,2.457729138,1.830642955,0.744851386,23.54117647,2.703967168
1987,2,49683,3838,19079,39546,678,2143,10847,14107,7435,115918,12622,12.94502345,10.30380406,4.971078687,0.5583637311,0.1766545076,3.675612298,2.826211569,0.7689090522,30.20270974,3.288692027
1987,1,83203,3957,32090,63842,931,2978,18092,22983,10642,138910,15739,21.02678797,16.13393985,8.10967905,0.7525903462,0.235279252,5.808188021,4.572150619,0.7871905321,35.10487743,3.977508213
1988,5,11216,3019,4405,9626,73,330,2333,3355,2444,41408,3044,3.715137463,3.188473004,1.459092415,0.1093077178,0.02418019212,1.111295131,0.7727724412,0.6953800298,13.71579993,1.008280888
1988,4,22523,3403,8835,19445,532,1596,4321,5688,3978,62251,6576,6.618571848,5.714075815,2.596238613,0.468997943,0.1563326477,1.671466353,1.269761975,0.7596694796,18.29297679,1.932412577
1988,3,34254,3580,13535,28506,675,2094,6509,8786,5685,85031,8487,9.568156425,7.962569832,3.780726257,0.5849162011,0.188547486,2.454189944,1.818156425,0.7408376963,23.75167598,2.370670391
1988,2,50432,3814,19612,40581,435,1506,10773,14020,7556,114016,12569,13.22286314,10.64001049,5.142108023,0.3948610383,0.1140534872,3.675930781,2.824593603,0.7684022825,29.89407446,3.295490299
1988,1,77717,3786,30044,60237,1126,3397,16503,20862,9883,132579,16101,20.52746962,15.91045959,7.935552034,0.8972530375,0.2974115161,5.510301109,4.358954041,0.7910555076,35.01822504,4.252773376
1989,5,10348,3155,4090,9279,98,441,2070,3119,2316,34327,2815,3.279873217,2.941045959,1.296354992,0.13977813,0.03106180666,0.9885895404,0.6561014263,0.6636742546,10.88019017,0.8922345483
