Rk,Player,PTS,Date,Age,Team,at,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional,season,season_year
1,Joel Embiid,52,2023-04-04,29-019,PHI,,BOS,W 103-101,1,39,20,25,0.8,20,24,0.833,0,1,0,12,13,0.923,0.846,2,11,13,6,0,2,3,3,52,48.2,30,C,embiijo01,2022-23,2023
2,Jrue Holiday,51,2023-03-29,32-290,MIL,@,IND,W 149-136,1,32,20,30,0.667,17,24,0.708,3,6,0.5,8,10,0.8,0.741,5,3,8,8,1,1,6,3,51,41.7,13.1,G,holidjr01,2022-23,2023
3,Julius Randle,57,2023-03-20,28-111,NYK,,MIN,L 134-140,1,37,19,29,0.655,11,15,0.733,8,14,0.571,11,13,0.846,0.821,0,4,4,1,0,0,4,4,57,39.8,11,F-C,randlju01,2022-23,2023
4,Stephen Curry,50,2023-03-15,35-001,GSW,@,LAC,L 126-134,1,39,20,28,0.714,12,14,0.857,8,14,0.571,2,4,0.5,0.84,0,2,2,6,2,0,2,1,50,42,22.6,G,curryst01,2022-23,2023
5,Damian Lillard,71,2023-02-26,32-226,POR,,HOU,W 131-114,1,39,22,38,0.579,9,16,0.563,13,22,0.591,14,14,1,0.804,1,5,6,6,0,0,2,0,71,57.6,23.5,G,lillada01,2022-23,2023
6,Giannis Antetokounmpo,54,2023-02-02,28-058,MIL,,LAC,W 106-105,1,36,21,39,0.538,19,31,0.613,2,8,0.25,10,15,0.667,0.592,4,15,19,2,0,0,3,2,54,38,20.5,F-G,antetgi01,2022-23,2023
7,Luka Dončić,53,2023-01-30,23-336,DAL,,DET,W 111-105,1,36,17,24,0.708,12,13,0.923,5,11,0.455,14,18,0.778,0.83,0,8,8,5,2,0,4,2,53,44.5,28.3,G-F,doncilu01,2022-23,2023
8,Giannis Antetokounmpo,50,2023-01-29,28-054,MIL,,NOP,W 135-110,1,30,20,26,0.769,17,22,0.773,3,4,0.75,7,12,0.583,0.799,3,10,13,4,0,0,3,5,50,40.7,21,F-G,antetgi01,2022-23,2023
9,Damian Lillard,60,2023-01-25,32-194,POR,,UTA,W 134-124,1,40,21,29,0.724,12,14,0.857,9,15,0.6,9,10,0.9,0.898,0,7,7,8,3,0,4,1,60,54,25.5,G,lillada01,2022-23,2023
10,Jayson Tatum,51,2023-01-16,24-319,BOS,@,CHO,W 130-118,1,40,15,23,0.652,8,11,0.727,7,12,0.583,14,14,1,0.874,1,8,9,5,0,0,4,3,51,42.3,17.9,F,tatumja01,2022-23,2023
11,Damian Lillard,50,2023-01-12,32-181,POR,,CLE,L 113-119,1,40,16,28,0.571,11,15,0.733,5,13,0.385,13,15,0.867,0.723,0,2,2,3,1,0,1,1,50,38.3,15.9,G,lillada01,2022-23,2023
12,Giannis Antetokounmpo,55,2023-01-03,28-028,MIL,,WAS,W 123-113,1,37,20,33,0.606,20,30,0.667,0,3,0,15,16,0.938,0.687,2,8,10,7,2,0,5,3,55,44,20,F-G,antetgi01,2022-23,2023
13,Donovan Mitchell,71,2023-01-02,26-117,CLE,,CHI,W 145-134 (OT),1,50,22,34,0.647,15,19,0.789,7,15,0.467,20,25,0.8,0.789,3,5,8,11,0,1,4,3,71,60.8,23,G,mitchdo01,2022-23,2023
14,Klay Thompson,54,2023-01-02,32-328,GSW,,ATL,W 143-141 (2OT),1,46,21,39,0.538,11,18,0.611,10,21,0.476,2,2,1,0.677,2,6,8,3,0,1,3,4,54,36.5,11.4,G-F,thompkl01,2022-23,2023
15,Luka Dončić,51,2022-12-31,23-306,DAL,@,SAS,W 126-125,1,37,18,29,0.621,12,19,0.632,6,10,0.6,9,15,0.6,0.716,1,5,6,9,4,1,0,3,51,47.5,27.7,G-F,doncilu01,2022-23,2023
16,Luka Dončić,60,2022-12-27,23-302,DAL,,NYK,W 126-121 (OT),1,47,21,31,0.677,19,25,0.76,2,6,0.333,16,22,0.727,0.737,5,16,21,10,2,1,4,5,60,56.3,25.3,G-F,doncilu01,2022-23,2023
17,Luka Dončić,50,2022-12-23,23-298,DAL,@,HOU,W 112-106,1,42,17,30,0.567,11,18,0.611,6,12,0.5,10,12,0.833,0.709,0,8,8,10,3,0,7,3,50,39.2,16.5,G-F,doncilu01,2022-23,2023
18,Pascal Siakam,52,2022-12-21,28-263,TOR,@,NYK,W 113-106,1,41,17,25,0.68,15,19,0.789,2,6,0.333,16,18,0.889,0.79,3,6,9,7,1,0,1,2,52,48.5,28.4,F,siakapa01,2022-23,2023
19,Devin Booker,58,2022-12-17,26-048,PHO,,NOP,W 118-114,1,42,21,35,0.6,15,23,0.652,6,12,0.5,10,15,0.667,0.697,1,5,6,5,0,0,2,3,58,42.4,16.4,G,bookede01,2022-23,2023
20,Joel Embiid,53,2022-12-11,28-270,PHI,,CHO,W 131-113,1,34,20,32,0.625,18,29,0.621,2,3,0.667,11,11,1,0.719,3,9,12,3,0,1,2,2,53,43.4,14.7,C,embiijo01,2022-23,2023
21,Anthony Davis,55,2022-12-04,29-268,LAL,@,WAS,W 130-119,1,38,22,30,0.733,20,27,0.741,2,3,0.667,9,9,1,0.81,3,14,17,1,0,3,2,1,55,49.5,19.9,F-C,davisan02,2022-23,2023
22,Devin Booker,51,2022-11-30,26-031,PHO,,CHI,W 132-113,1,31,20,25,0.8,14,18,0.778,6,7,0.857,5,6,0.833,0.923,0,4,4,6,1,0,2,3,51,44.3,32.9,G,bookede01,2022-23,2023
23,Stephen Curry,50,2022-11-16,34-247,GSW,@,PHO,L 119-130,1,36,17,28,0.607,10,17,0.588,7,11,0.636,9,9,1,0.782,0,9,9,6,0,1,3,2,50,41,20.7,G,curryst01,2022-23,2023
24,Joel Embiid,59,2022-11-13,28-242,PHI,,UTA,W 105-98,1,37,19,28,0.679,18,23,0.783,1,5,0.2,20,24,0.833,0.765,1,10,11,8,1,7,5,3,59,54.4,35.2,C,embiijo01,2022-23,2023
25,Darius Garland,51,2022-11-13,22-291,CLE,,MIN,L 124-129,1,40,16,31,0.516,6,16,0.375,10,15,0.667,9,13,0.692,0.694,1,1,2,6,2,0,2,3,51,38.1,18.3,G,garlada01,2022-23,2023
1,Kevin Durant,55,2022-04-02,33-185,BRK,@,ATL,L 115-122,1,42,19,28,0.679,11,18,0.611,8,10,0.8,9,11,0.818,0.837,0,7,7,3,1,0,4,1,55,43,22.9,F-G,duranke01,2021-22,2022
2,DeMar DeRozan,50,2022-03-31,32-236,CHI,,LAC,W 135-130 (OT),1,43,17,26,0.654,15,24,0.625,2,2,1,14,15,0.933,0.767,0,5,5,6,1,0,2,4,50,41.3,15.5,G-F,derozde01,2021-22,2022
3,Saddiq Bey,51,2022-03-17,22-342,DET,@,ORL,W 134-120,1,39,17,27,0.63,7,13,0.538,10,14,0.714,7,10,0.7,0.812,0,9,9,4,3,0,1,1,51,44.8,19.8,F,beysa01,2021-22,2022
4,Kyrie Irving,60,2022-03-15,29-357,BRK,@,ORL,W 150-108,1,35,20,31,0.645,12,19,0.632,8,12,0.667,12,13,0.923,0.817,2,4,6,4,4,1,1,3,60,53.8,26.7,G,irvinky01,2021-22,2022
5,Karl-Anthony Towns,60,2022-03-14,26-119,MIN,@,SAS,W 149-139,1,36,19,31,0.613,12,20,0.6,7,11,0.636,15,16,0.938,0.789,2,15,17,3,1,0,6,5,60,46.5,11.7,C-F,townska01,2021-22,2022
6,Kevin Durant,53,2022-03-13,33-165,BRK,,NYK,W 110-107,1,43,19,37,0.514,15,24,0.625,4,13,0.308,11,12,0.917,0.627,1,5,6,9,2,0,5,3,53,38.6,15,F-G,duranke01,2021-22,2022
7,LeBron James,50,2022-03-11,37-071,LAL,,WAS,W 122-109,1,36,18,25,0.72,12,16,0.75,6,9,0.667,8,8,1,0.877,0,7,7,6,0,1,3,3,50,42.5,26.6,F-G,jamesle01,2021-22,2022
8,Kyrie Irving,50,2022-03-08,29-350,BRK,@,CHO,W 132-121,1,38,15,19,0.789,6,7,0.857,9,12,0.75,11,13,0.846,1.011,0,3,3,6,1,1,3,4,50,44.1,23.3,G,irvinky01,2021-22,2022
9,Jayson Tatum,54,2022-03-06,24-003,BOS,,BRK,W 126-120,1,41,16,30,0.533,8,15,0.533,8,15,0.533,14,17,0.824,0.72,2,3,5,3,0,0,2,4,54,39,12.7,F,tatumja01,2021-22,2022
10,LeBron James,56,2022-03-05,37-065,LAL,,GSW,W 124-116,1,39,19,31,0.613,13,20,0.65,6,11,0.545,12,13,0.923,0.763,2,8,10,3,0,1,4,0,56,44.1,16.5,F-G,jamesle01,2021-22,2022
11,Ja Morant,52,2022-02-28,22-202,MEM,,SAS,W 118-105,1,34,22,30,0.733,18,26,0.692,4,4,1,4,7,0.571,0.786,1,6,7,2,0,0,4,1,52,38.1,18.6,G,moranja01,2021-22,2022
12,Giannis Antetokounmpo,50,2022-02-15,27-071,MIL,,IND,W 128-119,1,36,17,21,0.81,15,18,0.833,2,3,0.667,14,18,0.778,0.864,4,10,14,4,0,0,3,3,50,44.9,20.1,F-G,antetgi01,2021-22,2022
13,Luka Dončić,51,2022-02-10,22-347,DAL,,LAC,W 112-105,1,40,17,26,0.654,10,12,0.833,7,14,0.5,10,14,0.714,0.793,0,9,9,6,1,1,7,4,51,38,19.6,G-F,doncilu01,2021-22,2022
14,Jayson Tatum,51,2022-01-23,23-326,BOS,@,WAS,W 116-87,1,33,18,28,0.643,9,14,0.643,9,14,0.643,6,6,1,0.832,2,8,10,7,0,0,1,1,51,45.9,38.9,F,tatumja01,2021-22,2022
